method,generation,individual_id,fitness,total_time,near_collisions,mean_congestion,peak_congestion,mean_high_time,mean_low_time,fairness_gap_time,all_evacuated,remaining_agents,layout,num_high,num_low,seed_list,params,per_seed_fitnesses,per_seed_total_times
random,0,13,1159.4670727969349,50.0,219.0,4.129333333333333,10.0,4.832758620689656,2.638888888888889,2.1938697318007665,False,9.0,standard,30,10,"[11, 29, 47]","[3.039423032588465, 0.6146551855254057, 0.5224851868878934, 2.8664308675349837, 3.9172254181193567, 1.005461855726112]","[1174.916551724138, 1155.7140952380953, 1147.7705714285714]","[50.0, 50.0, 50.0]"
random,0,14,1101.6839047619048,50.0,22.666666666666668,1.8053333333333335,7.0,3.6400000000000006,3.382619047619048,1.0392857142857144,False,4.666666666666667,standard,30,10,"[11, 29, 47]","[3.3008130002667806, 0.6538256057320594, 1.4247261140957028, 2.6092586841526235, 1.9026120570783929, 1.9615693881238667]","[1103.8273333333334, 1085.2277142857142, 1115.9966666666667]","[50.0, 50.0, 50.0]"
random,0,15,1091.0695599343187,50.0,72.33333333333333,0.128,2.0,3.2648275862068967,2.9357142857142855,0.32911330049261084,False,3.6666666666666665,standard,30,10,"[11, 29, 47]","[0.7303348702756762, 1.3574581344644843, 0.4476528581577266, 2.9955283128626276, 2.4837578312164057, 1.5064743925007762]","[1083.6264761904763, 1094.903536945813, 1094.6786666666667]","[50.0, 50.0, 50.0]"
random,0,16,1064.9377777777777,50.0,18.0,0.0,0.0,2.214444444444444,4.233333333333334,2.0188888888888887,False,1.0,standard,30,10,"[11, 29, 47]","[2.7831078880241793, 1.5198036035468405, 2.7035236634464423, 0.9518266523046893, 2.759619980969481, 1.6093845768193016]","[1066.4666666666667, 1062.3533333333332, 1065.9933333333333]","[50.0, 50.0, 50.0]"
random,0,17,1090.429671957672,50.0,22.0,1.2286666666666666,5.333333333333333,4.202619047619048,4.904232804232804,0.717169312169312,False,3.6666666666666665,standard,30,10,"[11, 29, 47]","[2.5015181158853417, 0.8910739232412106, 3.980841989138474, 2.6622754644154547, 4.355444179196521, 1.1658115033988632]","[1094.4622857142856, 1084.9120634920635, 1091.9146666666666]","[50.0, 50.0, 50.0]"
ga,0,0,24.40963473239546,13.566666666666668,47.333333333333336,1.5163013990621248,5.0,2.4433333333333334,5.923333333333335,3.4800000000000004,True,0.0,standard,30,10,"[11, 29, 47]","[2.0, 1.0, 0.5, 2.0, 0.5, 1.0]","[26.651666666666664, 21.845464480874316, 24.731773049645394]","[14.4, 12.200000000000001, 14.100000000000001]"
ga,0,1,1091.8435873015871,50.0,26.666666666666668,2.6286666666666667,8.333333333333334,2.9600000000000004,5.234126984126984,2.2741269841269838,False,3.3333333333333335,standard,30,10,"[11, 29, 47]","[3.4435241299159034, 0.5807315282033341, 1.179763376585796, 0.9609295267466742, 0.9619389153166488, 1.7181417599836606]","[1087.4867619047618, 1092.5406666666668, 1095.5033333333333]","[50.0, 50.0, 50.0]"
ga,0,2,35.07064287584782,22.633333333333336,20.666666666666668,1.212865098070034,5.0,3.4277777777777776,8.523333333333333,5.095555555555555,True,0.0,standard,30,10,"[11, 29, 47]","[4.624390490332576, 0.9148615966956594, 4.11679735180571, 2.7247317327779648, 2.6135552306247063, 0.8674469016031947]","[36.05312775330397, 31.06299840510367, 38.095802469135805]","[22.700000000000003, 20.900000000000002, 24.3]"
ga,0,3,1065.6965162241888,40.86666666666667,22.333333333333332,1.4215162241887906,6.0,3.8766666666666665,8.355833333333335,4.479166666666667,False,1.3333333333333333,standard,30,10,"[11, 29, 47]","[4.1387838208773156, 0.8206444450626432, 3.7331885559500777, 2.074850511474202, 4.644295566773319, 0.8478622829096283]","[1077.439, 31.079882005899705, 1088.5706666666667]","[50.0, 22.6, 50.0]"
ga,0,4,24.42208161767019,14.200000000000001,32.333333333333336,0.8209705065590781,3.6666666666666665,1.7611111111111113,5.653333333333333,3.8922222222222227,True,0.0,standard,30,10,"[11, 29, 47]","[4.015713130238407, 1.2772475552790712, 1.2346225616036308, 0.9147599831018614, 2.53916594563919, 1.37408696092298]","[23.38756690997567, 23.264356955380578, 26.61432098765432]","[13.700000000000001, 12.700000000000001, 16.2]"
