scenario_name,scenario_label,num_high,num_low,high_fraction,simulation_seed,total_time,fairness_gap_time,near_collisions,mean_congestion,all_evacuated,remaining_agents
high_dominant_80_20,High-mobility dominant (80% / 20%),32,8,0.8,227,29.400000000000002,11.506250000000001,50.0,1.989795918367347,True,0
low_dominant_20_80,Low-mobility dominant / ICU-like (20% / 80%),8,32,0.2,11,39.2,9.01875,17.0,1.8520408163265305,True,0
low_dominant_20_80,Low-mobility dominant / ICU-like (20% / 80%),8,32,0.2,29,44.6,6.015625,39.0,2.1569506726457397,True,0
low_dominant_20_80,Low-mobility dominant / ICU-like (20% / 80%),8,32,0.2,47,43.5,11.5875,7.0,1.6413793103448275,True,0
low_dominant_20_80,Low-mobility dominant / ICU-like (20% / 80%),8,32,0.2,53,38.5,5.6000000000000005,2.0,1.9402597402597404,True,0
low_dominant_20_80,Low-mobility dominant / ICU-like (20% / 80%),8,32,0.2,61,60.900000000000006,21.44375,56.0,1.1888341543513958,True,0
low_dominant_20_80,Low-mobility dominant / ICU-like (20% / 80%),8,32,0.2,73,47.400000000000006,13.856250000000001,29.0,2.0168776371308015,True,0
low_dominant_20_80,Low-mobility dominant / ICU-like (20% / 80%),8,32,0.2,89,40.2,7.5125,9.0,2.199004975124378,True,0
low_dominant_20_80,Low-mobility dominant / ICU-like (20% / 80%),8,32,0.2,97,62.300000000000004,12.671875,42.0,1.2792937399678972,True,0
low_dominant_20_80,Low-mobility dominant / ICU-like (20% / 80%),8,32,0.2,101,44.5,10.9375,10.0,2.1258426966292134,True,0
low_dominant_20_80,Low-mobility dominant / ICU-like (20% / 80%),8,32,0.2,109,47.0,16.7,45.0,2.2893617021276595,True,0
low_dominant_20_80,Low-mobility dominant / ICU-like (20% / 80%),8,32,0.2,113,55.2,1.50625,100.0,2.0905797101449277,True,0
low_dominant_20_80,Low-mobility dominant / ICU-like (20% / 80%),8,32,0.2,127,45.900000000000006,16.45625,79.0,2.24400871459695,True,0
low_dominant_20_80,Low-mobility dominant / ICU-like (20% / 80%),8,32,0.2,131,50.300000000000004,11.287500000000001,27.0,1.411530815109344,True,0
low_dominant_20_80,Low-mobility dominant / ICU-like (20% / 80%),8,32,0.2,137,49.1,16.60625,10.0,1.7433808553971486,True,0
low_dominant_20_80,Low-mobility dominant / ICU-like (20% / 80%),8,32,0.2,139,43.1,12.80625,15.0,2.0812064965197217,True,0
low_dominant_20_80,Low-mobility dominant / ICU-like (20% / 80%),8,32,0.2,149,47.0,11.090625000000001,39.0,1.8851063829787233,True,0
low_dominant_20_80,Low-mobility dominant / ICU-like (20% / 80%),8,32,0.2,151,46.5,13.490625000000001,22.0,2.1032258064516127,True,0
low_dominant_20_80,Low-mobility dominant / ICU-like (20% / 80%),8,32,0.2,157,47.5,16.587500000000002,35.0,2.357894736842105,True,0
low_dominant_20_80,Low-mobility dominant / ICU-like (20% / 80%),8,32,0.2,163,37.9,4.9625,6.0,2.4142480211081794,True,0
low_dominant_20_80,Low-mobility dominant / ICU-like (20% / 80%),8,32,0.2,167,62.300000000000004,11.878125,266.0,2.298555377207063,True,0
low_dominant_20_80,Low-mobility dominant / ICU-like (20% / 80%),8,32,0.2,173,58.400000000000006,18.984375,13.0,1.5565068493150684,True,0
low_dominant_20_80,Low-mobility dominant / ICU-like (20% / 80%),8,32,0.2,179,47.400000000000006,14.606250000000001,15.0,1.8080168776371308,True,0
low_dominant_20_80,Low-mobility dominant / ICU-like (20% / 80%),8,32,0.2,181,53.800000000000004,9.109375,37.0,1.754646840148699,True,0
low_dominant_20_80,Low-mobility dominant / ICU-like (20% / 80%),8,32,0.2,191,44.6,8.053125,30.0,2.091928251121076,True,0
low_dominant_20_80,Low-mobility dominant / ICU-like (20% / 80%),8,32,0.2,193,46.800000000000004,17.3625,19.0,2.282051282051282,True,0
low_dominant_20_80,Low-mobility dominant / ICU-like (20% / 80%),8,32,0.2,197,40.2,15.090625000000001,10.0,1.7935323383084578,True,0
low_dominant_20_80,Low-mobility dominant / ICU-like (20% / 80%),8,32,0.2,199,45.1,7.7093750000000005,36.0,1.875831485587583,True,0
low_dominant_20_80,Low-mobility dominant / ICU-like (20% / 80%),8,32,0.2,211,47.800000000000004,8.26875,23.0,1.8598326359832635,True,0
low_dominant_20_80,Low-mobility dominant / ICU-like (20% / 80%),8,32,0.2,223,39.2,9.95625,90.0,2.7346938775510203,True,0
low_dominant_20_80,Low-mobility dominant / ICU-like (20% / 80%),8,32,0.2,227,46.300000000000004,11.86875,13.0,1.550755939524838,True,0
