run,run_name,ga_seed,generation,best_fitness
4,run_04,404,15,53.96132159645699
4,run_04,404,16,53.96132159645699
4,run_04,404,17,53.96132159645699
4,run_04,404,18,53.96132159645699
4,run_04,404,19,53.96132159645699
4,run_04,404,20,53.474048985339216
4,run_04,404,21,53.474048985339216
4,run_04,404,22,53.474048985339216
4,run_04,404,23,52.4417029563639
4,run_04,404,24,52.4417029563639
5,run_05,505,0,59.83985204476008
5,run_05,505,1,55.18674778626337
5,run_05,505,2,55.18674778626337
5,run_05,505,3,54.02029129401163
5,run_05,505,4,54.02029129401163
5,run_05,505,5,54.02029129401163
5,run_05,505,6,54.02029129401163
5,run_05,505,7,54.02029129401163
5,run_05,505,8,54.02029129401163
5,run_05,505,9,54.02029129401163
5,run_05,505,10,54.02029129401163
5,run_05,505,11,54.02029129401163
5,run_05,505,12,52.889187591404415
5,run_05,505,13,52.889187591404415
5,run_05,505,14,52.889187591404415
5,run_05,505,15,52.889187591404415
5,run_05,505,16,52.889187591404415
5,run_05,505,17,52.889187591404415
5,run_05,505,18,52.889187591404415
5,run_05,505,19,52.889187591404415
5,run_05,505,20,52.889187591404415
5,run_05,505,21,52.889187591404415
5,run_05,505,22,52.889187591404415
5,run_05,505,23,52.889187591404415
5,run_05,505,24,52.889187591404415
6,run_06,606,0,161.0367279309374
6,run_06,606,1,58.19809353119153
6,run_06,606,2,56.25599200385956
6,run_06,606,3,55.570759826018275
6,run_06,606,4,55.570759826018275
6,run_06,606,5,55.570759826018275
6,run_06,606,6,54.61074660413814
6,run_06,606,7,54.61074660413814
6,run_06,606,8,54.49909155086898
6,run_06,606,9,53.586922507965284
6,run_06,606,10,53.586922507965284
6,run_06,606,11,53.550292557309724
6,run_06,606,12,53.550292557309724
6,run_06,606,13,53.550292557309724
6,run_06,606,14,53.250058420575854
6,run_06,606,15,53.250058420575854
6,run_06,606,16,53.250058420575854
6,run_06,606,17,53.250058420575854
6,run_06,606,18,53.250058420575854
6,run_06,606,19,53.250058420575854
6,run_06,606,20,53.250058420575854
6,run_06,606,21,53.250058420575854
6,run_06,606,22,53.250058420575854
6,run_06,606,23,52.279248192708664
6,run_06,606,24,52.279248192708664
7,run_07,707,0,72.13880225053722
7,run_07,707,1,65.18037290289634
7,run_07,707,2,65.18037290289634
7,run_07,707,3,65.18037290289634
7,run_07,707,4,65.18037290289634
7,run_07,707,5,61.386478675766966
7,run_07,707,6,61.28199332681499
7,run_07,707,7,59.025496039406875
7,run_07,707,8,57.964330256809404
7,run_07,707,9,56.62078860151805
7,run_07,707,10,56.62078860151805
7,run_07,707,11,56.62078860151805
7,run_07,707,12,56.62078860151805
7,run_07,707,13,56.62078860151805
7,run_07,707,14,56.62078860151805
7,run_07,707,15,56.03891044990701
7,run_07,707,16,53.805954758645825
7,run_07,707,17,53.805954758645825
7,run_07,707,18,53.805954758645825
7,run_07,707,19,53.805954758645825
7,run_07,707,20,53.805954758645825
7,run_07,707,21,53.805954758645825
7,run_07,707,22,53.805954758645825
7,run_07,707,23,53.805954758645825
7,run_07,707,24,53.805954758645825
8,run_08,808,0,99.46186093303825
8,run_08,808,1,64.15965061742125
8,run_08,808,2,64.15965061742125
8,run_08,808,3,64.15965061742125
8,run_08,808,4,64.15965061742125
